train_no,train_name,weekday,weekday_no
7607,NED-TPTY HOL,Saturday,5
7608,TPTY-NED,Monday,0
7613,sabarimalai,Tuesday,1
7614,sabarimalai,Sunday,6
7644,tpty spl,Sunday,6
7645,RU-CCT,Thursday,3
7757,SC-BZA  SPL,Sunday,6
7758,BZA-SC  SPL,Tuesday,1
7941,CCT-TPTY HSP,Monday,0
7942,TPTY-COASPL,Wednesday,2
8001,KGP-JGM BI-W,Tuesday,1
8002,JGM-KGP BI-W,Thursday,3
8014,MDN-KGP MEMU,Monday,0
8017,KGP-JGM MEMU,Sunday,6
8018,JGM-KGP MEMU,Tuesday,1
8035,BLS - KGP DE,Saturday,5
8036,BLS - KGP ME,Sunday,6
8051,KGP JGM MEMU,Thursday,3
8052,JGM KGP MEMU,Saturday,5
8061,SHM JP SPL W,Friday,4
8062,JP SHM SPL W,Wednesday,2
8063,KGP-BQA DEMU,Sunday,6
8064,BQA-KGP DEMU,Monday,0
8065,KGP-BQA MEMU,Tuesday,1
8082,BQA-VSU MEMU,Sunday,6
8087,VSU-BQA MEMU,Wednesday,2
8101,CBSA CKP DEM,Friday,4
8102,CKP-CBSA DEM,Wednesday,2
8301,SBP-BAND WEE,Sunday,6
8302,BAND-SBP WEE,Sunday,6
8403,PURI-SRC WEE,Sunday,6
8404,SRC-PURI WEE,Friday,4
8501,VSKP SC WEEK,Wednesday,2
8502,SC VSKP SPEC,Sunday,6
8511,KRDL-VSKP SP,Friday,4
8512,VSKP-KRDL SP,Wednesday,2
8567,VSKP-QLN BI-,Monday,0
8568,QLN-VSKP BI-,Wednesday,2
8573,VSKP-TPTY WE,Tuesday,1
8574,TPTY-VSKP SP,Tuesday,1
8581,BPQ CAF PASS,Friday,4
8582,CAF BPQ SPL,Tuesday,1
8617,RNC ANVT SPL,Monday,0
8618,ANVT RNC SPL,Sunday,6
8627,HWH RNC SPL,Saturday,5
8628,RNC HWH  SPL,Friday,4
8872,DURG-G PASS,Monday,0
9003,BDTS NZM  SF,Saturday,5
9004,NZM  BDTS SF,Monday,0
9005,BCT NDLS BI,Wednesday,2
9006,NDLS BCT BI,Sunday,6
9011,BDTS BKN WEE,Thursday,3
9012,BKN BDTS WEE,Tuesday,1
9433,BDTS GIMB WE,Wednesday,2
9434,GIMB BDTS WE,Wednesday,2
9621,AII BDTS SF,Tuesday,1
9622,BDTS AII SF,Saturday,5
9721,JP UDZ SF SP,Friday,4
9722,UDZ JP SF SP,Wednesday,2
9761,SGNR-SOG SPL,Friday,4
9809,KOTA-NZM DAI,Saturday,5
9810,NZM-KOTA DAI,Monday,0
10103,MANDOVI EXPR,Thursday,3
10104,MANDOVI EXPR,Monday,0
10111,KONKAN KANYA,Friday,4
10112,KONKAN KANYA,Saturday,5
10215,MAO-ERS,Tuesday,1
10216,ERS-MAO SPL,Wednesday,2
11001,SNSI-PVR EXP,Wednesday,2
11002,PVR-SNSI EXP,Sunday,6
11003,DR-SWV TUTAR,Friday,4
11004,SWV-DR TUTAR,Friday,4
11005,DR-PDY EXPRE,Saturday,5
11006,CHALUKYA EXP,Saturday,5
11007,DECCAN EXPRE,Wednesday,2
11008,DECCAN EXPRE,Monday,0
11009,SINHAGAD EXP,Thursday,3
11010,SINHAGAD EXP,Sunday,6
11011,LTT-NED EXPR,Friday,4
11012,NED-LTT  EXP,Monday,0
11013,COIMBATORE E,Tuesday,1
11014,LOKMANYA TT,Wednesday,2
11015,KUSHINAGAR E,Saturday,5
11016,KUSHINAGAR E,Sunday,6
11017,LTT-KIK WEEK,Thursday,3
11018,KARAIKAL LTT,Wednesday,2
11019,KONARK EXPRE,Friday,4
11020,KONARK EXPRE,Wednesday,2
11021,DR-TEN EXPRE,Saturday,5
11022,TEN - DR EXP,Saturday,5
11023,SAHYADRI EXP,Wednesday,2
11024,SAHYADRI EXP,Thursday,3
11025,BSL-PUNE EXP,Tuesday,1
11026,PUNE-BSL EXP,Saturday,5
11027,CSMT-MAS MAI,Sunday,6
11028,MAS-CSMT MUM,Thursday,3
11029,KOYNA EXPRES,Tuesday,1
11030,KOYNA EXPRES,Friday,4
11031,SUR-BJP EPXR,Saturday,5
11032,BJP-SUR EXPR,Wednesday,2
11033,PUNE-DBG EXP,Friday,4
11034,DBG-PUNE EXP,Wednesday,2
11035,SHARAVATHI E,Friday,4
11036,SHARAVATI EX,Tuesday,1
11037,PUNE-GKP EXP,Friday,4
11038,GKP-PUNE EXP,Tuesday,1
11039,MAHARASHTRA,Thursday,3
11040,MAHARASHTRA,Friday,4
11041,CSMT -MAS EX,Tuesday,1
11042,MAS-CSMT MUM,Saturday,5
11043,LTT-MADURAI,Tuesday,1
11044,LOKAMANYA TT,Sunday,6
11045,DIKSHABHOOMI,Sunday,6
11046,DIKSHABHUMI,Sunday,6
11047,MRJ UBL EXP,Friday,4
11048,UBL MRJ EXPR,Sunday,6
11049,ADI-KOP EXPR,Saturday,5
11050,KOP-ADI EXPR,Saturday,5
11051,SUR - KOP EX,Friday,4
11052,KOP - SUR EX,Sunday,6
11053,LTT-AMH EXPR,Thursday,3
11054,AMH-LTT EXPR,Thursday,3
11055,GODAN EXPRES,Thursday,3
11056,GODAN EXPRES,Wednesday,2
11057,AMRITSAR EXP,Friday,4
11058,ASR CSMT EXP,Thursday,3
11059,CHHAPRA EXPR,Sunday,6
11060,CPR LTT EXPR,Thursday,3
11061,LTT-DBG  EXP,Monday,0
11062,DBG  LTT EXP,Monday,0
11063,MS SA SUPER,Monday,0
11064,SA MS SUPERF,Sunday,6
11067,SAKET EXPRES,Saturday,5
11068,SAKET EXPRES,Friday,4
11071,KAMAYANI EXP,Sunday,6
11072,KAMAYANI EXP,Saturday,5
11073,LTT-MAS EXPR,Friday,4
11074,CHENNAI - LT,Wednesday,2
11075,LTT-BIDR EXP,Thursday,3
11076,BIDR-LTT EXP,Thursday,3
11077,JHELUM EXPRE,Tuesday,1
11078,JHELUM EXPRE,Saturday,5
11079,LTT-GKP EXPR,Saturday,5
11080,GKP-LTT EXPR,Wednesday,2
11081,LTT-GKP VIA,Tuesday,1
11082,GKP-LTT VIA,Friday,4
11083,LTT-KZJ TADO,Friday,4
11084,KZJ-LTT TADO,Thursday,3
11085,LTT-MAO DOUB,Sunday,6
11086,MAO-LTT DOUB,Saturday,5
11087,VRL-PUNE EXP,Sunday,6
11088,PUNE-VRL EXP,Thursday,3
11089,BGKTPUNE EXP,Sunday,6
11090,PUNE BGKT EX,Tuesday,1
11091,BHUJ PUNE EX,Friday,4
11092,PUNE BHUJ EX,Friday,4
11093,MAHANAGARI E,Thursday,3
11094,MAHANAGARI E,Thursday,3
11095,AHIMSA EXPRE,Friday,4
11096,AHIMSA EXPRE,Wednesday,2
11097,POORNA EXPRE,Saturday,5
11098,POORNA EXPRE,Friday,4
11101,PUNE-GWALIOR,Thursday,3
11102,GWL-PUNE EXP,Tuesday,1
11103,JHS-BDTS EXP,Sunday,6
11104,BDTS-JHS EXP,Sunday,6
11107,BUNDELKHAND,Friday,4
11108,BUNDELKHAND,Friday,4
11109,JHS-LKO INTE,Thursday,3
11110,LKO -JHS INT,Friday,4
11111,GWL-BLP SUSH,Friday,4
11112,BLP-GWL SUSH,Monday,0
11123,BARAUNI-GWL,Thursday,3
11124,GWALIAR-BJU,Wednesday,2
11125,IND-GWL EXP,Monday,0
11126,GWL-IND EXP,Thursday,3
11201,LTT-AJNI EXP,Wednesday,2
11202,AJNI-LTT EXP,Friday,4
11203,NAGPUR JAIPU,Tuesday,1
11204,JAIPUR NAGPU,Tuesday,1
11205,LTT-NZB EXPR,Thursday,3
11206,NZB-LTT WEEK,Friday,4
11265,JBP-ABKP EXP,Thursday,3
11266,ABKP-JBP EXP,Monday,0
11272,VINDHYACHAL,Friday,4
11301,UDYAN EXPRES,Wednesday,2
11302,UDYAN EXP,Monday,0
11303,HYB-KOP EXPR,Thursday,3
11304,KOP-HYB EXPR,Saturday,5
11307,GR-HYB- INTE,Monday,0
11308,HYB-GR INTER,Wednesday,2
11309,SUR-MRJ EXP,Sunday,6
11310,MRJ-SUR EXP,Wednesday,2
11401,NANDIGRHAM E,Thursday,3
11402,NADHIGRAM EX,Tuesday,1
11403,NGP-KOP EXPR,Friday,4
11404,KOP-NGP EXPR,Saturday,5
11405,PUNE-AMRAVAT,Thursday,3
11406,AMRAVAI-PUNE,Tuesday,1
11407,PUNE-LJN EXP,Sunday,6
11408,LJN-PUNE EXP,Saturday,5
11423,SUR HUBLI EX,Friday,4
11424,GDG-SUR EXPR,Tuesday,1
11447,SHAKTIPUNJ E,Friday,4
11448,SHAKTIPUNJ E,Friday,4
11449,JBP-SVDK EXP,Friday,4
11450,SVDK-JBP EXP,Thursday,3
11463,SMNH-JBP EXP,Sunday,6
11464,JBP -SMNH EX,Thursday,3
11465,SMNH-JBP EXP,Tuesday,1
11466,JBP-SMNH EXP,Monday,0
11651,JBP-SGRL INT,Thursday,3
11652,SGRL-JBP INT,Tuesday,1
11701,JBP-INDB INT,Sunday,6
11702,INDB-JBP INT,Sunday,6
11703,REWA-DADN  E,Thursday,3
11704,INDB-REWA EX,Saturday,5
11801,JHS-ETW EXPR,Wednesday,2
11802,ETW-JHS LINK,Saturday,5
11901,MTJ-KKDE EXP,Saturday,5
11902,KKDE-MTJ EXP,Wednesday,2
12001,BPL - NDLS S,Monday,0
12002,NDLS - BPL S,Thursday,3
12003,LKO-NDLS SHA,Sunday,6
12004,NDLS-LKO SHA,Monday,0
12005,NDLS-KLK- SH,Friday,4
12006,KLK-NDLS SHA,Sunday,6
12007,MAS-MYS SHAT,Friday,4
12008,MYS-MAS SHAT,Saturday,5
12009,SHATABDI EXP,Tuesday,1
12010,SHATABDI EXP,Friday,4
12011,NDLS-KLK SHA,Tuesday,1
12012,KLK-NDLS SHA,Monday,0
12013,NDLS-ASR SHA,Sunday,6
12014,ASR-NDLS SHA,Friday,4
12015,NDLS-AII SHA,Monday,0
12016,AII-NDLS SHA,Monday,0
12017,NDLS-DDN SHA,Sunday,6
12018,DDN-NDLS SHA,Saturday,5
12019,HOWRAH RANCH,Tuesday,1
12020,RNC HWH SHAT,Thursday,3
12021,HOWRAH-BARAB,Saturday,5
12022,BARABIL-HOWR,Tuesday,1
12023,HOWRAH PATNA,Tuesday,1
12024,PATNA HOWRAH,Wednesday,2
12025,PUNE-SC SHAT,Sunday,6
12026,SC-PUNE SHAT,Friday,4
12027,MAS-SBC SHAT,Sunday,6
12028,SBC-MAS SHAT,Thursday,3
12029,SWARNA SHATA,Monday,0
12030,SWARNA SHATA,Sunday,6
12031,NDLS-ASR-SHA,Tuesday,1
12032,ASR-NDLS SHA,Friday,4
12033,CNB NDLS SHT,Sunday,6
12034,NDLS CNB SHA,Friday,4
12035,JP AF SHATAB,Tuesday,1
12036,AF JP SHATAB,Friday,4
12037,NDLS-LDH SHA,Sunday,6
12038,LDH-NDLS SHA,Sunday,6
12039,KGM-NDLS SHA,Thursday,3
12040,NDLS-KGM SHA,Tuesday,1
12041,HWH - NJP SH,Tuesday,1
12042,NJP - HWH SH,Saturday,5
12043,NDLS-MOGA SH,Tuesday,1
12044,MOGA-NDLS SH,Sunday,6
12045,NDLS-CDG SHA,Friday,4
12046,CDG-NDLS SHA,Tuesday,1
12047,BHATINDA SHA,Saturday,5
12048,NEW DELHI SH,Thursday,3
12049,GATIMAN EXPR,Tuesday,1
12050,GATIMAN EXPR,Friday,4
12051,JAN SHATABDI,Wednesday,2
12052,MAO-DR JAN S,Wednesday,2
12053,HW-ASR EXP,Monday,0
12054,ASR-HW JAN S,Wednesday,2
12055,DDN JANSHATA,Wednesday,2
12056,NEWDELHI JAN,Tuesday,1
12057,NDLS-NLDM- J,Thursday,3
12058,NDLS JANSHTB,Friday,4
12059,NZM JAN SHAT,Tuesday,1
12060,KOTA JANSHTB,Tuesday,1
12061,JBP JANSHATA,Tuesday,1
12062,HBJ JANSHATA,Tuesday,1
12065,NZM JAN SHAT,Wednesday,2
12066,AII JAN SHAT,Tuesday,1
12067,JANSATABDI E,Thursday,3
12068,JANSATBDI EX,Sunday,6
12069,RIG - G JANS,Monday,0
12070,G - RIG JANS,Saturday,5
12071,JANSHATABDI,Wednesday,2
12072,JANSHATABDI,Sunday,6
12073,HWH-BBS JAN,Monday,0
12074,BBS-HWH JAN,Friday,4
12075,CLT - T VC J,Thursday,3
12076,TVC - CLT JA,Saturday,5
12077,MAS-BZA JAN,Monday,0
12078,BZA-MAS-JAN,Tuesday,1
12079,JANSHATABDI,Friday,4
12080,JAN SHATABDI,Tuesday,1
12081,CAN - TVC JA,Wednesday,2
12082,TVC - CAN JA,Sunday,6
12083,MV-CBE JANSH,Friday,4
12084,CBE-MV JAN S,Saturday,5
12085,GHY-DBRG SHA,Saturday,5
12086,DBRG-GHY SHA,Thursday,3
12087,NHLN - GHY S,Wednesday,2
12088,GHY - NHLN S,Wednesday,2
12101,JNANESWARI D,Saturday,5
12102,JNANESWARISU,Thursday,3
12103,PUNE-LKO EXP,Wednesday,2
12104,LJN-PUNE EXP,Saturday,5
12105,VIDARBHA EXP,Sunday,6
12106,VIDARBHA EXP,Sunday,6
12107,LTT-LJN EXPR,Sunday,6
12108,LJN-LTT EXPR,Tuesday,1
12109,PANCHAVATI E,Saturday,5
12110,PANCHAVTI EX,Sunday,6
12111,CSMT-AMI SF,Sunday,6
12112,AMI-CSMT SF,Monday,0
12113,PUNE-NGP GAR,Tuesday,1
12114,NGP-PUNE GAR,Thursday,3
12115,CSTM-SUR SID,Saturday,5
12116,SUR-CSMT SID,Saturday,5
12117,LTT MANMAD E,Monday,0
12118,MANMAD LTT E,Thursday,3
12119,AMRAVATI-NGP,Wednesday,2
12120,NGP-AMI EXPR,Wednesday,2
12121,M P SMPRK KR,Wednesday,2
12122,M P S KRANTI,Wednesday,2
12123,DECCAN QUEEN,Wednesday,2
12124,DECCAN QUEEN,Sunday,6
12125,PRAGATI EXPR,Sunday,6
12126,PRAGATI EXPR,Saturday,5
12127,INTERCITY EX,Monday,0
12128,INTERCITY EX,Saturday,5
12129,AZAD HIND EX,Tuesday,1
12130,HOWRAH PUNE,Wednesday,2
12131,DR SAINAGAR,Monday,0
12132,SAINAGAR DR,Wednesday,2
12133,CSMT-MAJN EX,Saturday,5
12134,MAJN-CSMT EX,Friday,4
12135,PUNE-NGP EXP,Saturday,5
12136,NGP-PUNE EXP,Wednesday,2
12137,PUNJAB MAIL,Sunday,6
12138,PUNJAB MAIL,Thursday,3
12139,SEWAGRAM EXP,Wednesday,2
12140,SEWAGRAM EXP,Wednesday,2
12141,LTT-PPTA EXP,Saturday,5
12142,PPTA-LTT SF,Thursday,3
12143,LTT-SLN SF E,Wednesday,2
12144,SLN LTT SF S,Thursday,3
12145,LTT-PURI WEE,Saturday,5
12146,PURI-LTT WEE,Sunday,6
12147,KOP-NZM EXPR,Friday,4
12148,NZM-KOP EXPR,Monday,0
12149,PUNE-DNR EXP,Saturday,5
12150,DNR-PUNE EXP,Sunday,6
12151,SAMARSATA EX,Thursday,3
12152,HWH-LTT SAMR,Monday,0
12153,LTT-HBJ EXPR,Saturday,5
12154,HBJ-LTT EXPR,Friday,4
12155,SHAN-E-BPL E,Tuesday,1
12156,SHAN-E- BHOP,Monday,0
12157,HUTATMA EXPR,Monday,0
12158,HUTATMA EXPR,Saturday,5
12159,AMI- JBP SUF,Saturday,5
12160,JBP-AMI  SUF,Wednesday,2
12161,LASHKAR EXPR,Wednesday,2
12162,LASHKAR EXPR,Monday,0
12163,CHENNAI EXPR,Friday,4
12164,CHENNAI EXP,Tuesday,1
12165,LTT BSB SUP,Tuesday,1
12166,BSB LTT SUP,Friday,4
12167,LTT(T)-BSB S,Saturday,5
12168,BSB-LTT SF E,Friday,4
12169,SUR INTERCIT,Saturday,5
12170,PUNE INTERCI,Thursday,3
12171,LTT - HW SUP,Sunday,6
12172,HW - LTT SUP,Wednesday,2
12173,LTT-CNB EXPR,Saturday,5
12174,CNB-LTT EXPR,Sunday,6
12175,CHAMBAL EXP,Friday,4
12176,CHAMBAL EXPR,Thursday,3
12177,CHAMBAL EXP,Monday,0
12178,CHAMBAL EXP,Sunday,6
12179,INTERCITY,Thursday,3
12180,INTERCITY,Friday,4
12181,JBP-AII DAYO,Friday,4
12182,AII-JBP DAYO,Sunday,6
12183,BPL-PBH SUF,Thursday,3
12184,PBH-BPL SUF,Sunday,6
12185,HBJ-REWA REW,Saturday,5
12186,REWA-HBJ REW,Wednesday,2
12187,MUMBAI GARIB,Wednesday,2
12188,JBP GARIB RA,Sunday,6
12189,JBP-NZM MAHA,Saturday,5
12190,NZM-JBP MAHA,Wednesday,2
12191,SHRIDHAM SUP,Tuesday,1
12192,JBP-NDLS SUF,Thursday,3
12193,YPR-JBP WEEK,Saturday,5
12194,JBP-YPR WEEK,Friday,4
12195,AF-AII INTER,Saturday,5
12196,AII-AF INTER,Saturday,5
12197,BPL-GWL-INTE,Monday,0
12198,GWL-BPL-INTE,Friday,4
12201,KCVL GARIB R,Monday,0
12202,LTT GARIB RA,Thursday,3
12203,GARIB RATH,Monday,0
12204,GRIB RATH,Thursday,3
12205,NANDA DEVI E,Sunday,6
12206,NANDA DEVI E,Saturday,5
12207,KGM-JAT GARI,Wednesday,2
12208,JAT-KGM GARI,Saturday,5
12209,CNB-KGM GARI,Wednesday,2
12210,KGM-CNB GARI,Monday,0
12211,MFP-ANVT GAR,Thursday,3
12212,ANVT-MFP GAR,Tuesday,1
12213,DEE-YPR DURA,Monday,0
12214,DEE-YPR DURO,Wednesday,2
12215,DEE-BDTS GAR,Monday,0
12216,BDTS-DEE GAR,Tuesday,1
12217,KERALA S.KRA,Sunday,6
12218,KERALA S.KRA,Thursday,3
12219,LTT-SC AC DU,Sunday,6
12220,SC-LTT AC DU,Monday,0
12221,PA-HWH DURAN,Thursday,3
12222,HWH-PUNE DUR,Tuesday,1
12223,LTT-ERS DURO,Friday,4
12224,ERS-LTT DURO,Tuesday,1
12225,KAIFIAT EXP,Thursday,3
12226,KAIFIAT EXP,Thursday,3
12227,INDORE DURON,Tuesday,1
12228,MUMBAI DURON,Tuesday,1
12229,LUCKNOW MAIL,Wednesday,2
12230,LUCKNOW MAIL,Thursday,3
12231,LKO - CDG EX,Friday,4
12232,CDG - LKO EX,Sunday,6
12235,GHY-NDLS RAJ,Friday,4
12236,NDLS-GHY RAJ,Saturday,5
12237,BSB-JAT EXP.,Saturday,5
12238,JAT-BSB EXP.,Thursday,3
12239,JAIPUR DURON,Tuesday,1
12240,JP BCT DURON,Saturday,5
12241,CDG-ASR SUPE,Thursday,3
12242,ASR-CDG SUPE,Saturday,5
12243,MAS-CBE SHAT,Tuesday,1
12244,CBE-MAS  SHA,Friday,4
12245,HWH - YPR WE,Tuesday,1
12246,YPR - HWH WE,Saturday,5
12247,BDTS NZM YUV,Thursday,3
12248,NZM  BDTS  Y,Tuesday,1
12249,HWH-ANVT YUV,Wednesday,2
12250,ANVT-HWH YUV,Saturday,5
12251,WAINGANGA EX,Thursday,3
12252,WAINGANGA EX,Saturday,5
